feature1,feature2,target
0,100,0
1,101,0
2,102,0
3,103,0
4,104,0
5,105,0
6,106,0
7,107,0
8,108,0
9,109,0
10,110,0
11,111,0
12,112,0
13,113,0
14,114,0
15,115,0
16,116,0
17,117,0
18,118,0
19,119,0
20,120,0
21,121,0
22,122,0
23,123,0
24,124,0
25,125,0
26,126,0
27,127,0
28,128,0
29,129,0
30,130,0
31,131,0
32,132,0
33,133,0
34,134,0
35,135,0
36,136,0
37,137,0
38,138,0
39,139,0
40,140,0
41,141,0
42,142,0
43,143,0
44,144,0
45,145,0
46,146,0
47,147,0
48,148,0
49,149,0
50,150,1
51,151,1
52,152,1
53,153,1
54,154,1
55,155,1
56,156,1
57,157,1
58,158,1
59,159,1
60,160,1
61,161,1
62,162,1
63,163,1
64,164,1
65,165,1
66,166,1
67,167,1
68,168,1
69,169,1
70,170,1
71,171,1
72,172,1
73,173,1
74,174,1
75,175,1
76,176,1
77,177,1
78,178,1
79,179,1
80,180,1
81,181,1
82,182,1
83,183,1
84,184,1
85,185,1
86,186,1
87,187,1
88,188,1
89,189,1
90,190,1
91,191,1
92,192,1
93,193,1
94,194,1
95,195,1
96,196,1
97,197,1
98,198,1
99,199,1
